ID,class
2MASS_J20475256+4345137,0
2MASS_J20510895+4416420,0
2MASS_J20512059+4420322,b
FHK_138,qpd
FHK_155,b
FHK_165,b:l
FHK_181,qpd
FHK_182,p:l
FHK_192,p:l
FHK_216
FHK_216,0
FHK_217,0
FHK_21,b
FHK_26,qpd:p
FHK_278,qpd
FHK_344,qpd
FHK_348,b
FHK_35,apd
FHK_362,b
FHK_418,0
FHK_430,0
FHK_459,0
FHK_45,b
FHK_496,b:p
FHK_506,qpd
FHK_543,0
FHK_562,b
FHK_56,0
FHK_75,0
FHK_79,qpd:l
GDR1_2066844954118735744,0
GDR1_2067026815919131392,b:l
GDR1_2067032760152922112,0
GDR1_2067067807089176192,apd
GDR1_2067069937403328128,b
GDR1_2162091003573281920,b
GDR1_2162091278451209472,b
GDR1_2162121961697794304,0
GDR1_2162127974652045056,b:p
GDR1_2162128009011784832,0
GDR1_2162221673657763584,qpd
GDR1_2162221673657766272,qpd
GDR1_2162251394832460672,0
GDR1_2162886775113495552,0
GDR1_2162909830498130048,qpd
GDR1_2162932993257907584,0
GDR1_2162939173714801152,apd
GDR1_2162939792190072448,qpd
GDR1_2162940067068027264,qpd
GDR1_2162944911791083136,qpd
GDR1_2162945976943020416,apd
GDR1_2162947798009095808,0
GDR1_2162949309837722880,qpd
GDR1_2162952470933669632,qpd
GDR1_2162955803828359040,0
GDR1_2162961267026674432,0
GDR1_2162967795377160064,b
GDR1_2162969788241973632,b
GDR1_2162975698125115392,0
GDR1_2163017101601143040,b
GDR1_2163020881172468608,0
GDR1_2163135677060562176,qpd
GDR1_2163136746511218176,qpd
GDR1_2163137738645105280,qpd:l
GDR1_2163138361418522624,apd
GDR1_2163139804527939968,qpd
GDR1_2163140315626344064,qpd
GDR1_2163140315626346880,b:l
GDR1_2163155055959979392,qpd
GDR2_2067027228235955584,qpd
GDR2_2162951684957670144,0
GDR2_2163136059317926016,qpd
GDR2_2163137120170654720,0
PSO_J205647.351+434127.587,b
PSO_J205818.503+435346.014,qpd
