ID,OUR_PER,BHARD_PER,primary_class
GDR2_2163139804529410944,0.912892955033662,10.878,qps
2MASS_J20505543+4417461,0.9015406815299328,9.383,qps
GDR1_2163136364255498624,8.615267332984464,8.446,apd
2MASS_J20511252+4418093,7.988072978388604,7.954,p
GDR1_2163135573981345152,7.364955092999716,7.359,p
FHK_48,7.220862551658567,7.223,qps
GDR1_2163136746511218176,6.84353303886362,6.849,qps
GDR1_2163139804527939968,6.22448359083773,6.2170000000000005,qps
GDR1_2163136742213531520,5.499372497373977,5.49,qps
FHK_79,6.609562065148813,4.904,qps
GDR1_2163140281266601728,4.44555224809608,4.428999999999999,qps
FHK_8,3.95219797321546,3.946,p
FHK_86,3.8400512469274233,3.84,qps
GDR1_2067059732550905600,3.0938359927379504,3.089,qps
GDR1_2163138601937119360,2.4248942512376948,2.42,b
2MASS_J20512059+4420322,1.6237859092888862,1.607,qps
2MASS_J20510029+4424364,7.008938672886845,1.39,p
2MASS_J20510895+4416420,1.1904892992814269,1.189,qpd
FHK_82,7.1698532974698255,1.162,qpd
FHK_22,1.0251535591567484,0.993,s
FHK_28,1.0530742956270078,0.9490000000000001,qps
FHK_26,13.704636645102322,0.518,p
GDR1_2067062618768745728,9.480335991080453,0.345,qps
