ID,Q,M,NU,class
GDR1_2162134880959435904,0.2160275648175984,-0.03255408190267313,0.008242055742809794,p
GDR1_2162952711451794176,0.4060329047234466,0.006738619609485184,0.012929941803805852,p
2MASS_J20510029+4424364,0.2368340826065949,0.12064017897730993,0.02070555294228141,p
GDR1_2162947591850664960,0.5442911011591106,-0.1036524900229013,0.03197384364693875,p
GDR1_2163135573981345152,0.2591275822430877,-0.0019961565751963404,0.013636759563168949,p
GDR1_2162965012238950656,0.21332560816816265,0.036096355390420526,0.014426305448245262,p
GDR1_2162221536218867072,0.3861002625297746,0.0393850269933367,0.015138862951351147,p
2MASS_J20510663+4421407,0.4212279555452859,-0.028496854183791706,0.008795557534264583,p
GDR1_2162938074203123712,0.4337714085958486,0.4152459339857391,0.030403489556584937,p
GDR1_2162127974652045056,0.7719764668549446,-0.02421886872932005,0.017898836993307632,p
GDR1_2162251394832460672,0.1552577367433946,0.1803249424219737,0.009211608226079304,p
GDR2_2162926254452857472,0.4589795685941885,0.02817629254548458,0.018742773562005443,p
GDR1_2163156052385630336,0.23915235654477096,-0.08160466078973003,0.02211203943253884,p
GDR1_2162933882314931968,0.4125040301699637,0.03687253125333826,0.007531275212403396,p
2MASS_J20523394+4429168,0.2916550467353051,0.028315694495787913,0.008445860053699983,p
FHK_15,0.9170863581484112,0.3440814917202933,0.02344844497800676,p
FHK_21,0.8969788915133429,-0.16172796175715595,0.009097294209946169,p
FHK_22,0.8988103935094082,-0.14260772655308734,0.01085626997550556,p
FHK_26,0.6488829988081418,0.1327783673813873,0.028136081706705892,p
FHK_28,0.637760698486838,0.05424610212868282,0.012081719964463864,p
FHK_32,0.7387325634929262,-0.468577750775953,0.02228057059093591,p
FHK_40,0.8153791890348335,-0.1775783811268132,0.017880272058494913,p
FHK_43,0.8831585199982136,-0.004545653934578636,0.017343750315886117,p
FHK_46,0.3002209690968957,0.18142150480160746,0.007412663656775746,p
FHK_56,0.33145409318066593,0.17899587743010778,0.013952948984991364,p
FHK_62,0.397491776043415,0.012457041955958491,0.00960212170175407,p
FHK_118,0.11365685490964815,0.2435415110905461,0.010309777492830572,p
FHK_127,0.4395211087721642,0.037018440131386735,0.01003158737470805,p
FHK_133,0.15409875355498792,0.0854529911088212,0.010424188617510377,p
FHK_137,0.2455775808342626,0.14247172791852136,0.01454548372835691,p
FHK_150,0.1198571016334133,0.12785232436462493,0.012319890577406631,p
FHK_172,0.3501411970364657,0.33247950083074385,0.01491205002565858,p
FHK_182,0.3855888291930691,0.19579281871903156,0.00946347762006924,p
FHK_183,0.3396589291818168,0.10778210330263192,0.008406019426933255,p
FHK_192,0.1859785515551028,0.2860346966187988,0.011789972235006113,p
FHK_200,0.3666485344420128,-0.0682648272841232,0.0066072051054497614,p
FHK_216,0.17096604038933835,0.1209420778427904,0.010985937098055029,p
FHK_217,0.3602057925163684,0.13597254044365786,0.013459291589996902,p
FHK_226,0.1364481347133468,0.11011482930444616,0.016457854859248836,p
FHK_281,0.19908986102759169,0.27095143323218485,0.011762676881111492,p
FHK_282,0.14810495501785684,0.08457805780655837,0.007955785134643139,p
FHK_286,0.31832012828369105,0.2005251945535469,0.010039281477049387,p
FHK_323,0.1328138874862455,0.2170514231160079,0.009550766643966159,p
FHK_371,0.2422430157110926,-0.01033424727436935,0.007687565654047287,p
FHK_372,0.38133555437832706,0.09937255904857976,0.012597151342868844,p
FHK_408,0.4043626868232501,0.19422670337798684,0.013661644701283723,p
FHK_430,0.3043839988629275,0.2268415841919925,0.01323979618334685,p
FHK_431,0.4245769123175971,0.0226883195566664,0.008434992563311832,p
FHK_496,0.6510820278235748,-0.05599679179262192,0.021603863310886,p
FHK_510,0.2749307286819827,0.2224946703264128,0.015303026358398576,p
FHK_530,0.6003134722403357,-0.4785005514297726,0.013053122762407495,p
FHK_543,0.11740195811682155,0.13949847826138528,0.006349911887517989,p
FHK_567,0.1745125318929946,0.2847845384205233,0.02288862429815594,p
FHK_569,0.2675971689062507,-0.09957019311286228,0.009602335949550038,p
FHK_571,0.3675496978018343,0.1307337142699784,0.011817917425777444,p
FHK_576,0.14687521085707422,-0.2861514110075851,0.015270442141935812,p
